,actor_id,subject_type,frame,x,y,w,h,region_id,region_cx,region_cy,area,speed,cluster,is_outlier
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
19,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
20,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
21,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
26,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
28,7.0,Person,0.0,276.0,688.0,345.0,845.0,0.0,0.0,0.0,291525.0,0.0,1,False
29,6.0,Person,0.0,349.0,709.0,410.0,850.0,0.0,0.0,0.0,348500.0,75.96051605933177,1,False
30,7.0,Person,2710.0,287.0,714.0,356.0,868.0,7.0,322.2,791.0,309008.0,62.20128616033595,1,False
31,6.0,Person,2710.0,349.0,712.0,437.0,864.0,0.0,0.0,0.0,377568.0,62.03224967708329,1,False
32,9.0,Person,3293.0,453.0,586.0,536.0,720.0,0.0,0.0,0.0,385920.0,163.37686494727458,1,False
33,12.0,Person,3293.0,416.0,568.0,493.0,701.0,0.0,0.0,0.0,345593.0,41.14608122288197,1,False
34,9.0,Person,3693.0,397.0,533.0,456.0,640.0,0.0,0.0,0.0,291840.0,39.82461550347976,1,False
35,12.0,Person,3693.0,496.0,544.0,565.0,680.0,0.0,0.0,0.0,384200.0,99.60923651951158,1,False
36,7.0,Person,4991.0,268.0,729.0,348.0,883.0,7.0,308.0,806.0,307284.0,293.6136917788406,1,False
37,10.0,Person,4991.0,273.0,700.0,338.0,837.0,10.0,305.917,769.417,282906.0,29.42787793912432,1,False
38,6.0,Person,4991.0,341.0,712.0,416.0,856.0,0.0,0.0,0.0,356096.0,69.05070600652827,1,False
39,7.0,Person,5085.0,269.0,729.0,342.0,883.0,7.0,306.02700000000004,806.0,301986.0,73.97972695272672,1,False
40,6.0,Person,5085.0,335.0,710.0,407.0,861.0,0.0,0.0,0.0,350427.0,68.6804193347711,1,False
41,7.0,Person,6324.0,289.0,687.0,360.0,843.0,7.0,324.5,765.0,303480.0,51.42956348249516,1,False
42,6.0,Person,6324.0,336.0,714.0,424.0,856.0,0.0,0.0,0.0,362944.0,54.20332093147061,1,False
43,12.0,Person,3199.0,368.0,594.0,453.0,730.0,0.0,0.0,0.0,330690.0,124.1933975700802,1,False
44,9.0,Person,3199.0,450.0,592.0,528.0,728.0,0.0,0.0,0.0,384384.0,82.02438661763951,1,False
45,10.0,Person,4910.0,269.0,690.0,337.0,827.0,10.0,303.833,758.833,278699.0,205.8275977608445,1,False
46,6.0,Person,4910.0,336.0,713.0,411.0,857.0,0.0,0.0,0.0,352227.0,70.83784299369935,1,False
47,7.0,Person,4959.0,268.0,729.0,348.0,883.0,7.0,308.0,806.0,307284.0,69.85699678629192,1,False
48,10.0,Person,4959.0,278.0,693.0,343.0,830.0,10.0,311.056,761.5,284690.0,37.36308338453881,1,False
49,21.0,Person,9906.0,1098.0,528.0,1162.0,674.0,0.0,0.0,0.0,783188.0,836.4358911476719,1,False
50,19.0,Person,9906.0,1061.0,584.0,1122.0,720.0,0.0,0.0,0.0,807840.0,67.11929677819934,1,False
51,19.0,Person,10046.0,1044.0,593.0,1096.0,711.0,0.0,0.0,0.0,779256.0,19.235384061671343,1,False
52,21.0,Person,10046.0,1080.0,549.0,1178.0,677.0,0.0,0.0,0.0,797506.0,56.85068161420758,1,False
