type,duration,num_actors,avg_width,avg_height,regions_in_event,video,label
Talking,21,2,76.5,162.0,109,VIRAT_S_000001,19
Talking,278,3,68.21385902031064,146.96774193548387,1116,VIRAT_S_000001,19
Talking,290,4,67.79639175257732,150.99484536082474,1164,VIRAT_S_000001,19
Talking,59,3,69.66666666666667,152.80555555555554,240,VIRAT_S_000001,19
Talking,323,4,68.05787037037037,147.86111111111111,1423,VIRAT_S_000001,19
Talking,116,3,65.98005698005699,142.3988603988604,507,VIRAT_S_000001,19
Talking,590,4,62.09137055837564,141.60490693739425,2412,VIRAT_S_000001,19
Talking,532,2,83.04502814258912,158.4765478424015,2210,VIRAT_S_000001,19
Talking,6218,2,72.92072680495257,146.26129602830036,25385,VIRAT_S_000001,19
Talking,115,2,60.900862068965516,104.41379310344827,573,VIRAT_S_000001,19
Talking,269,3,44.6320987654321,93.67901234567901,1080,VIRAT_S_000001,19
Talking,3313,3,55.84661033997184,120.83202574934622,13851,VIRAT_S_000001,19
Talking,104,2,49.70952380952381,113.71428571428571,514,VIRAT_S_000001,19
Talking,275,3,50.82125603864734,123.46618357487922,1104,VIRAT_S_000001,19
Person_Person_Interaction,34,2,74.4,149.5,140,VIRAT_S_000001,12
Person_Person_Interaction,97,2,77.49489795918367,143.81632653061226,392,VIRAT_S_000001,12
Person_Person_Interaction,31,2,74.3125,149.5,128,VIRAT_S_000001,12
Person_Person_Interaction,30,2,57.354838709677416,112.61290322580645,153,VIRAT_S_000001,12
Interacts,477,2,50.81589958158996,107.9633891213389,2036,VIRAT_S_000001,6
Interacts,7,2,56.0,106.375,32,VIRAT_S_000001,6
Interacts,10,2,60.0,103.0,44,VIRAT_S_000001,6
Interacts,25,2,52.5,107.0,104,VIRAT_S_000001,6
Interacts,26,2,52.5,107.0,119,VIRAT_S_000001,6
Interacts,20,2,49.88095238095238,101.76190476190476,105,VIRAT_S_000001,6
Interacts,33,2,47.0,96.0,168,VIRAT_S_000001,6
Interacts,11,2,52.5,107.0,48,VIRAT_S_000001,6
Interacts,1823,2,48.41611842105263,107.03207236842105,7302,VIRAT_S_000001,6
Interacts,63,2,57.125,94.40625,256,VIRAT_S_000001,6
Interacts,43,2,53.0,104.0,176,VIRAT_S_000001,6
Unloading,49,3,133.72297297297297,90.45270270270271,242,VIRAT_S_000001,21
Unloading,13,3,118.37837837837837,112.29729729729729,63,VIRAT_S_000001,21
Object_Transfer,30,3,53.333333333333336,77.40860215053763,152,VIRAT_S_000001,9
Object_Transfer,34,3,45.38095238095238,86.58095238095238,170,VIRAT_S_000001,9
Transport_HeavyCarry,260,2,59.12643678160919,92.5919540229885,1324,VIRAT_S_000001,20
Transport_HeavyCarry,443,2,56.2195945945946,85.32657657657657,2205,VIRAT_S_000001,20
Transport_HeavyCarry,442,2,40.082392776523704,69.26410835214448,2180,VIRAT_S_000001,20
Exiting,45,2,140.93478260869566,138.5108695652174,184,VIRAT_S_000001,5
Exiting,40,2,140.9268292682927,140.78048780487805,164,VIRAT_S_000001,5
Exiting,29,2,184.93333333333334,120.23333333333333,120,VIRAT_S_000001,5
Entering,47,2,165.27083333333334,150.64583333333334,197,VIRAT_S_000001,4
Entering,126,2,142.1771653543307,149.26771653543307,618,VIRAT_S_000001,4
Entering,124,2,142.172,149.256,608,VIRAT_S_000001,4
Entering,36,2,181.2027027027027,116.93243243243244,183,VIRAT_S_000001,4
Opening,59,2,171.14166666666668,160.125,323,VIRAT_S_000001,11
Opening,49,2,147.1,140.92,200,VIRAT_S_000001,11
Opening,59,2,141.58333333333334,163.58333333333334,295,VIRAT_S_000001,11
Opening,63,2,146.984375,142.8359375,256,VIRAT_S_000001,11
Opening,66,2,141.83582089552237,163.73134328358208,330,VIRAT_S_000001,11
Opening,32,2,179.04545454545453,118.34848484848484,132,VIRAT_S_000001,11
Opening,30,2,176.5,117.0,153,VIRAT_S_000001,11
Closing,79,2,167.0,147.5,320,VIRAT_S_000001,0
Closing,52,2,141.83962264150944,160.00943396226415,212,VIRAT_S_000001,0
Closing,22,2,145.3913043478261,145.2173913043478,113,VIRAT_S_000001,0
Closing,27,2,142.41071428571428,167.21428571428572,112,VIRAT_S_000001,0
Closing,25,2,145.42307692307693,145.03846153846155,128,VIRAT_S_000001,0
Closing,21,2,183.5,122.5,88,VIRAT_S_000001,0
Closing,23,2,184.70833333333334,124.33333333333333,120,VIRAT_S_000001,0
vehicle_stopping,73,1,216.4189189189189,192.7972972972973,296,VIRAT_S_000001,36
vehicle_stopping,148,1,94.29530201342281,62.16778523489933,596,VIRAT_S_000001,36
vehicle_stopping,47,1,167.83333333333334,176.97916666666666,192,VIRAT_S_000001,36
vehicle_stopping,62,1,113.96825396825396,61.285714285714285,252,VIRAT_S_000001,36
vehicle_stopping,26,1,301.74074074074076,182.88888888888889,108,VIRAT_S_000001,36
vehicle_stopping,76,1,103.28571428571429,72.40259740259741,308,VIRAT_S_000001,36
