event_id,video,actor_id,subject_type,predicate,frame,x,y,w,h,region_id,region_cx,region_cy,area,speed
0.0,VIRAT_S_000000,0.0,Unknown,Closing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Closing_Trunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Entering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Exiting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Interacts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Loading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Open_Trunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Opening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Person_Person_Interaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Pull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Push,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,SetDown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Talking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Transport_HeavyCarry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,Unloading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,activity_carrying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,activity_gesturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,VIRAT_S_000000,0.0,Unknown,activity_running,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
